,timestamp,value,pressure
94553,1420650000,2238,1022.62
94554,1420653600,2167,1021.94
94555,1420657200,2224,1022.04
94556,1420660800,2299,1021.8
94557,1420664400,2185,1021.03
94558,1420668000,2387,1020.76
94559,1420671600,2350,1019.33
94560,1420675200,2219,1019.33
94561,1420678800,2360,1018.52
94562,1420682400,2301,1018.39
94563,1420686000,2275,1017.88
94564,1420689600,2322,1017.4
94565,1420693200,2276,1017.03
94566,1420696800,2399,1016.72
94567,1420700400,2255,1016.18
94568,1420704000,2286,1016.45
94569,1420707600,2271,1016.18
94570,1420711200,2316,1015.74
94571,1420714800,2376,1015.2
94572,1420718400,2304,1015.03
94573,1420722000,2395,1014.49
94574,1420725600,2323,1015.54
94575,1420729200,2304,1016.22
94576,1420732800,2278,1017.78
94577,1420736400,2267,1019.06
94578,1420740000,2254,1020.62
94579,1420743600,2204,1021.84
94580,1420747200,2178,1022.65
94581,1420750800,2181,1022.72
94582,1420754400,2216,1023.02
94583,1420758000,2280,1021.97
94584,1420761600,2259,1021.97
94585,1420765200,2307,1022.04
94586,1420768800,2292,1021.87
94587,1420772400,2232,1017.27
94588,1420776000,2297,1016.72
94589,1420779600,2290,1014.49
94590,1420783200,2325,1013.74
94591,1420786800,2324,1012.09
94592,1420790400,2351,1012.83
94593,1420794000,2365,1012.53
94594,1420797600,2368,1012.12
94595,1420801200,2379,1012.93
94596,1420804800,2262,1013.17
94597,1420808400,2350,1012.59
94598,1420812000,2371,1012.9
94599,1420815600,2326,1013.71
94600,1420819200,2505,1014.25
94601,1420822800,2368,1013.51
94602,1420826400,2393,1011.34
94603,1420830000,2402,1009.45
94604,1420833600,2430,1008.63
94605,1420837200,2361,1007.99
94606,1420840800,2370,1008.09
94607,1420844400,2400,1008.67
94608,1420848000,2284,1008.67
94609,1420851600,2304,1009.17
94610,1420855200,2362,1009.31
94611,1420858800,2343,1008.63
94612,1420862400,2365,1007.62
94613,1420866000,2339,1007.31
94614,1420869600,2349,1006.63
94615,1420873200,2388,1005.72
94616,1420876800,2462,1004.77
94617,1420880400,2488,1004.4
94618,1420884000,2492,1003.99
94619,1420887600,2395,1003.52
94620,1420891200,2433,1002.84
94621,1420894800,2412,1005.41
94622,1420898400,2355,1006.87
94623,1420902000,2514,1008.36
94624,1420905600,2456,1009.48
