,timestamp,value,pressure
222,1081058400,1803,0.0
223,1081062000,1606,0.0
224,1081065600,1685,0.0
225,1081069200,1714,0.0
226,1081072800,1641,0.0
227,1081076400,1565,0.0
228,1081080000,1620,0.0
229,1081083600,1637,0.0
230,1081087200,1569,0.0
231,1081090800,1571,0.0
232,1081094400,1602,0.0
233,1081098000,1554,0.0
234,1081101600,1668,0.0
235,1081105200,1658,0.0
236,1081108800,1625,0.0
237,1081112400,1654,0.0
238,1081116000,1674,0.0
239,1081119600,1595,0.0
240,1081123200,1704,0.0
241,1081126800,1692,0.0
242,1081130400,1715,0.0
243,1081134000,1713,0.0
244,1081137600,1697,0.0
245,1081141200,1795,0.0
246,1081144800,1700,0.0
247,1081148400,1737,0.0
248,1081152000,1695,0.0
249,1081155600,1708,0.0
250,1081159200,1739,0.0
251,1081162800,1611,0.0
252,1081166400,1688,0.0
253,1081170000,1616,0.0
254,1081173600,1679,0.0
255,1081177200,1666,0.0
256,1081180800,1680,0.0
257,1081184400,1724,0.0
258,1081188000,1814,0.0
259,1081191600,1755,0.0
260,1081195200,1858,0.0
261,1081198800,1917,0.0
262,1081202400,1812,0.0
263,1081206000,1761,0.0
264,1081209600,1763,0.0
265,1081213200,1780,0.0
266,1081216800,1849,0.0
267,1081220400,1825,0.0
268,1081224000,1936,0.0
269,1081227600,1940,0.0
270,1081231200,1921,0.0
271,1081234800,1813,0.0
272,1081238400,1919,0.0
273,1081242000,1986,0.0
274,1081245600,1915,0.0
275,1081249200,1666,0.0
276,1081252800,1150,0.0
277,1081256400,1852,0.0
278,1081260000,1787,0.0
279,1081263600,1857,0.0
280,1081267200,1895,0.0
281,1081270800,1808,0.0
282,1081274400,1806,0.0
283,1081278000,1895,0.0
284,1081281600,1780,0.0
285,1081285200,1835,0.0
286,1081288800,1878,0.0
287,1081292400,1864,0.0
288,1081296000,1860,0.0
289,1081299600,1878,0.0
290,1081303200,1825,0.0
291,1081306800,1909,0.0
292,1081310400,1876,0.0
293,1081314000,1906,0.0
294,1081317600,1967,0.0
295,1081321200,1994,0.0
296,1081324800,2186,0.0
297,1081328400,2008,0.0
298,1081332000,1930,0.0
299,1081335600,1865,0.0
300,1081339200,1753,0.0
301,1081342800,1832,0.0
302,1081346400,1868,0.0
303,1081350000,1877,0.0
304,1081353600,1789,0.0
305,1081357200,1746,0.0
306,1081360800,1769,0.0
307,1081364400,1794,0.0
308,1081368000,1778,0.0
309,1081371600,1825,0.0
310,1081375200,1763,0.0
311,1081378800,1738,0.0
312,1081382400,1808,0.0
313,1081386000,1812,0.0
314,1081389600,1812,0.0
315,1081393200,1769,0.0
316,1081396800,1746,0.0
317,1081400400,1762,0.0
318,1081404000,1773,0.0
319,1081407600,1773,0.0
320,1081411200,1848,0.0
321,1081414800,1798,0.0
322,1081418400,1804,0.0
323,1081422000,1759,0.0
324,1081425600,1877,0.0
325,1081429200,1728,0.0
326,1081432800,1811,0.0
327,1081436400,1798,0.0
328,1081440000,463,0.0
329,1081443600,1593,0.0
330,1081447200,1734,0.0
331,1081450800,1765,0.0
332,1081454400,1745,0.0
333,1081458000,1761,0.0
334,1081461600,1710,0.0
335,1081465200,1744,0.0
336,1081468800,1738,0.0
337,1081472400,1734,0.0
338,1081476000,1758,0.0
339,1081479600,1655,0.0
340,1081483200,1713,0.0
341,1081486800,1797,0.0
342,1081490400,1697,0.0
343,1081494000,1669,0.0
344,1081497600,1650,0.0
345,1081501200,1660,0.0
346,1081504800,1651,0.0
347,1081508400,1615,0.0
348,1081512000,1649,0.0
349,1081515600,1733,0.0
350,1081519200,1604,0.0
351,1081522800,1704,0.0
352,1081526400,1690,0.0
353,1081530000,1681,0.0
354,1081533600,1661,0.0
355,1081537200,1774,0.0
356,1081540800,1708,0.0
357,1081544400,1716,0.0
358,1081548000,1712,0.0
359,1081551600,1783,0.0
360,1081555200,1629,0.0
361,1081558800,1753,0.0
362,1081562400,1742,0.0
363,1081566000,1719,0.0
364,1081569600,1826,0.0
365,1081573200,1756,0.0
366,1081576800,1755,0.0
367,1081580400,1793,0.0
368,1081584000,1797,0.0
369,1081587600,1663,0.0
370,1081591200,1747,0.0
371,1081594800,1784,0.0
372,1081598400,1709,0.0
373,1081602000,1709,0.0
374,1081605600,1715,0.0
375,1081609200,1618,0.0
376,1081612800,1749,0.0
377,1081616400,1644,0.0
378,1081620000,1699,0.0
379,1081623600,1711,0.0
380,1081627200,1678,0.0
381,1081630800,1734,0.0
382,1081634400,1685,0.0
383,1081638000,1739,0.0
384,1081641600,1716,0.0
385,1081645200,1686,0.0
386,1081648800,1674,0.0
387,1081652400,1676,0.0
388,1081656000,1678,0.0
389,1081659600,1668,0.0
390,1081663200,1670,0.0
391,1081666800,1725,0.0
392,1081670400,1661,0.0
393,1081674000,1660,0.0
394,1081677600,1600,0.0
395,1081681200,1596,0.0
396,1081684800,1681,0.0
397,1081688400,1620,0.0
398,1081692000,1580,0.0
399,1081695600,1655,0.0
400,1081699200,1651,0.0
401,1081702800,1626,0.0
402,1081706400,1680,0.0
403,1081710000,1609,0.0
404,1081713600,1654,0.0
405,1081717200,1709,0.0
406,1081720800,1665,0.0
407,1081724400,1671,0.0
408,1081728000,1674,0.0
409,1081731600,1585,0.0
410,1081735200,1687,0.0
411,1081738800,1745,0.0
412,1081742400,1713,0.0
413,1081746000,1653,0.0
414,1081749600,1621,0.0
415,1081753200,1651,0.0
416,1081756800,1507,0.0
417,1081760400,1171,0.0
418,1081764000,1110,0.0
419,1081767600,1352,0.0
420,1081771200,1508,0.0
421,1081774800,1501,0.0
422,1081778400,1566,0.0
423,1081782000,1541,0.0
424,1081785600,1639,0.0
425,1081789200,1548,0.0
426,1081792800,1573,0.0
427,1081796400,1654,0.0
428,1081800000,1584,0.0
429,1081803600,1624,0.0
430,1081807200,1665,0.0
431,1081810800,1643,0.0
432,1081814400,1632,0.0
433,1081818000,1607,0.0
434,1081821600,1670,0.0
435,1081825200,1678,0.0
436,1081828800,1646,0.0
437,1081832400,1704,0.0
438,1081836000,1667,0.0
439,1081839600,1672,0.0
440,1081843200,1650,0.0
441,1081846800,1630,0.0
442,1081850400,1454,0.0
443,1081854000,1518,0.0
444,1081857600,1505,0.0
445,1081861200,1555,0.0
446,1081864800,1491,0.0
447,1081868400,1566,0.0
448,1081872000,1584,0.0
449,1081875600,1506,0.0
450,1081879200,1558,0.0
451,1081882800,1736,0.0
452,1081886400,1572,0.0
453,1081890000,1593,0.0
454,1081893600,1629,0.0
455,1081897200,1596,0.0
456,1081900800,1651,0.0
457,1081904400,1601,0.0
458,1081908000,1633,0.0
459,1081911600,1637,0.0
460,1081915200,1608,0.0
461,1081918800,1623,0.0
462,1081922400,127,0.0
498,1082052000,1336,0.0
499,1082055600,1629,0.0
500,1082059200,1649,0.0
501,1082062800,1629,0.0
502,1082066400,1728,0.0
503,1082070000,1581,0.0
504,1082073600,1699,0.0
505,1082077200,1658,0.0
506,1082080800,1769,0.0
507,1082084400,1700,0.0
508,1082088000,1744,0.0
509,1082091600,1745,0.0
510,1082095200,1689,0.0
511,1082098800,1600,0.0
512,1082102400,1484,0.0
513,1082106000,1470,0.0
514,1082109600,1602,0.0
515,1082113200,1471,0.0
516,1082116800,1529,0.0
517,1082120400,1513,0.0
518,1082124000,1620,0.0
519,1082127600,1582,0.0
520,1082131200,1671,0.0
521,1082134800,1615,0.0
522,1082138400,1653,0.0
523,1082142000,1701,0.0
524,1082145600,1689,0.0
525,1082149200,1686,0.0
526,1082152800,1746,0.0
527,1082156400,1706,0.0
528,1082160000,1799,0.0
529,1082163600,1714,0.0
530,1082167200,1868,0.0
531,1082170800,1828,0.0
532,1082174400,1886,0.0
533,1082178000,1849,0.0
534,1082181600,1787,0.0
