15;/s3;(129L,;1087003202;333841710L,;1087003202333841710L,;[19,;23;-1;-1],;[1,;-2;-1;-1],;-999.0,;-2.0,;-1.0,;-1.0,;-999.0,;-999.0,;-1.0,;-1.0,;-999.0)
339;/s301;(424L,;1120447884;436590862L,;1120447884436590862L,;[-1,;60;-1;-1],;[-1,;-126;-1;-1],;-1.0,;-126.0,;-1.0,;-1.0,;-1.0,;0.0,;-1.0,;-1.0,;-999.0)
479;/s3;(3193L,;1124994377;201354486L,;1124994377201354486L,;[53,;58;-1;-1],;[3,;0;-1;-1],;0.0018384000286459923,;-999.0,;-1.0,;-1.0,;260.0,;300.0,;-1.0,;-1.0,;-999.0)
1415;/s7;(4537L,;1181513367;641819744L,;1181513367641819744L,;[39,;39;-1;-1],;[1,;0;-1;-1],;-999.0,;-999.0,;-1.0,;-1.0,;215.0,;230.0,;-1.0,;-1.0,;-999.0)
1583;/s509;(16538L,;1183516008;91039480L,;1183516008091039480L,;[32,;28;-1;-1],;[3,;0;-1;-1],;-999.0,;-999.0,;-1.0,;-1.0,;197.5,;205.0,;-1.0,;-1.0,;-999.0)
1602;/s21;(4436L,;1183516664;663518527L,;1183516664663518527L,;[12,;12;-1;-1],;[0,;0;-1;-1],;-999.0,;-999.0,;-1.0,;-1.0,;-999.0,;-999.0,;-1.0,;-1.0,;-999.0)
1603;/s7;(6759L,;1183516729;228320992L,;1183516729228320992L,;[26,;31;-1;-1],;[1,;-5;-1;-1],;0.0007256799726746976,;-5.0,;-1.0,;-1.0,;30.0,;230.0,;-1.0,;-1.0,;-999.0)
1612;/s21;(5215L,;1183517111;222498836L,;1183517111222498836L,;[-1,;-1;-1;-1],;[-1,;-1;-1;-1],;-1.0,;-1.0,;-1.0,;-1.0,;-1.0,;-1.0,;-1.0,;-1.0,;-999.0)
2194;/s7;(10685L,;1214998015;211315298L,;1214998015211315298L,;[71,;58;-1;-1],;[32,;8;-1;-1],;-999.0,;-999.0,;-1.0,;-1.0,;102.5,;140.0,;-1.0,;-1.0,;-999.0)
2196;/s7;(10737L,;1214998715;323065768L,;1214998715323065768L,;[46,;92;-1;-1],;[-59,;253;-1;-1],;-59.0,;-999.0,;-1.0,;-1.0,;2.5,;17.5,;-1.0,;-1.0,;-999.0)
2368;/s304;(22695L,;1219471709;377069624L,;1219471709377069624L,;[214,;80;-1;-1],;[-78,;-24;-1;-1],;-78.0,;-24.0,;-1.0,;-1.0,;-999.0,;-999.0,;-1.0,;-1.0,;-999.0)
2929;/s8003;(75L,;1275236486;66850271L,;1275236486066850271L,;[124,;340;-1;-1],;[707,;5949;-1;-1],;0.1701200008392334,;14.693.000.316.619.800,00;-1.0,;-1.0,;1417.5,;15.0,;-1.0,;-1.0,;1420.0)
3150;/s1006;(19023L,;1278799299;477643216L,;1278799299477643216L,;[157,;45;-1;-1],;[1186,;322;-1;-1],;0.3627200126647949,;0.09949900209903717,;-1.0,;-1.0,;12.5,;1417.5,;-1.0,;-1.0,;1425.0)
4787;/s303;(6868L,;1317953622;569129903L,;1317953622569129903L,;[81,;242;-1;-1],;[1040,;3633;-1;-1],;0.3063800036907196,;10.478.999.614.715.500,00;-1.0,;-1.0,;592.5,;12.5,;-1.0,;-1.0,;595.0)
4787;/s303;(6869L,;1317953622;569239760L,;1317953622569239760L,;[85,;69;-1;-1],;[4931,;4097;-1;-1],;14.527.000.188.827.500,00;11.818.000.078.201.200,00;-1.0,;-1.0,;15.0,;975.0,;-1.0,;-1.0,;2232.5)
4787;/s304;(28727L,;1317953622;569215596L,;1317953622569215596L,;[71,;170;-1;-1],;[2635,;11944;-1;-1],;0.7192400097846985,;3.495.800.018.310.540,00;-1.0,;-1.0,;670.0,;20.0,;-1.0,;-1.0,;1042.5)
4787;/s304;(28728L,;1317953622;569221441L,;1317953622569221441L,;[134,;212;-1;-1],;[7711,;16355;-1;-1],;210.479.998.588.562,00;4.786.799.907.684.320,00;-1.0,;-1.0,;142.5,;12.5,;-1.0,;-1.0,;277.5)
4911;/s13;(22039L,;1335848200;973964941L,;1335848200973964941L,;[197,;70;-1;-1],;[7893,;613;-1;-1],;20.088.000.297.546.300,00;0.18951000273227692,;-1.0,;-1.0,;12.5,;2185.0,;-1.0,;-1.0,;2187.5)
4911;/s13;(22040L,;1335848200;974037156L,;1335848200974037156L,;[204,;51;-1;-1],;[7904,;2996;-1;-1],;20.116.000.175.476.000,00;0.9262300133705139,;-1.0,;-1.0,;267.5,;20.0,;-1.0,;-1.0,;-999.0)
5538;/s201;(7061L,;1342022890;966753581L,;1342022890966753581L,;[4,;154;383;4],;[0,;793;2758;0],;0.0,;0.21981999278068542,;0.7521299719810486,;0.0,;-999.0,;1395.0,;12.5,;-999.0,;1400.0)
5538;/s201;(7062L,;1342022890;966880316L,;1342022890966880316L,;[6,;12;81;435],;[0,;0;954;6480],;0.0,;0.0,;0.26015999913215637,;1.940.500.020.980.830,00;-999.0,;-999.0,;205.0,;12.5,;-999.0)
5612;/s503;(16499L,;1342065286;576374157L,;1342065286576374157L,;[272,;8;7;-999],;[3298,;0;0;-999],;16.511.000.394.821.100,00;0.0,;0.0,;-999.0,;12.5,;-999.0,;-999.0,;-999.0,;-999.0)
5612;/s503;(16500L,;1342065286;576463287L,;1342065286576463287L,;[5,;159;4;-999],;[0,;1350;0;-999],;0.0,;0.6960399746894836,;0.0,;-999.0,;-999.0,;15.0,;-999.0,;-999.0,;-999.0)
6069;/s101;(7398L,;1345932178;174795080L,;1345932178174795080L,;[42,;26;40;62],;[2561,;1640;8273;4467],;12.992.000.579.833.900,00;0.7149099707603455,;-999.0,;1.764.799.952.507.010,00;877.5,;17.5,;482.5,;985.0,;-999.0)
6069;/s102;(5265L,;1345932178;174666201L,;1345932178174666201L,;[178,;64;-1;-1],;[26790,;8718;-1;-1],;819.260.025.024.414,00;28.619.000.911.712.600,00;-1.0,;-1.0,;160.0,;12.5,;-1.0,;-1.0,;817.5)
6069;/s103;(3403L,;1345932178;174763486L,;1345932178174763486L,;[132,;-999;-1;-1],;[19822,;-999;-1;-1],;6.934.000.015.258.780,00;-999.0,;-1.0,;-1.0,;15.0,;-999.0,;-1.0,;-1.0,;-999.0)
6069;/s104;(1695L,;1345932178;174991119L,;1345932178174991119L,;[45,;48;-1;-1],;[3273,;9044;-1;-1],;10.534.000.396.728.500,00;2.530.400.037.765.500,00;-1.0,;-1.0,;147.5,;45.0,;-1.0,;-1.0,;-999.0)
6228;/s102;(5955L,;1351988713;115327524L,;1351988713115327524L,;[86,;65;-1;-1],;[904,;322;-1;-1],;0.2992100119590759,;0.10473000258207321,;-1.0,;-1.0,;770.0,;15.0,;-1.0,;-1.0,;775.0)
6264;/s8008;(4021L,;1371623098;59037362L,;1371623098059037362L,;[70,;77;-1;-1],;[2987,;3693;-1;-1],;-999.0,;11.447.999.477.386.400,00;-1.0,;-1.0,;55.0,;12.5,;-1.0,;-1.0,;55.0)
6837;/s301;(9411L,;1387739480;561042404L,;1387739480561042404L,;[67,;57;-1;-1],;[13453,;5668;-1;-1],;3.659.899.950.027.460,00;17.857.999.801.635.700,00;-1.0,;-1.0,;337.5,;230.0,;-1.0,;-1.0,;787.5)
8124;/s7003;(10517L,;1406568434;239674880L,;1406568434239674880L,;[156,;306;-1;-1],;[1470,;3360;-1;-1],;0.640500009059906,;1.406.000.018.119.810,00;-1.0,;-1.0,;15.0,;22.5,;-1.0,;-1.0,;25.0)
8250;/s13;(29414L,;1407792305;723457740L,;1407792305723457740L,;[370,;54;-1;-1],;[3505,;3078;-1;-1],;12.472.000.122.070.300,00;0.9912300109863281,;-1.0,;-1.0,;12.5,;62.5,;-1.0,;-1.0,;257.5)
8307;/s305;(6132L,;1407809039;766386478L,;1407809039766386478L,;[88,;74;-1;-1],;[1447,;409;-1;-1],;0.7107800245285034,;0.22596000134944916,;-1.0,;-1.0,;12.5,;597.5,;-1.0,;-1.0,;600.0)
8743;/s510;(540L,;1413914195;33960115L,;1413914195033960115L,;[36,;66;22;31],;[102,;404;0;86],;0.031578000634908676,;0.1364399939775467,;0.0,;0.029506999999284744,;12.5,;12.5,;82.5,;27.5,;97.5)
8743;/s510;(541L,;1413914195;33981480L,;1413914195033981480L,;[45,;45;29;24],;[122,;456;55;0],;0.037769000977277756,;0.15399999916553497,;0.016953999176621437,;0.0,;72.5,;12.5,;57.5,;52.5,;72.5)
8805;/s3001;(13633L,;1422455118;121171133L,;1422455118121171133L,;[72,;311;-1;-1],;[529,;2163;-1;-1],;0.16899999976158142,;0.7201899886131287,;-1.0,;-1.0,;245.0,;252.5,;-1.0,;-1.0,;252.5)
8944;/s23;(682L,;1433524526;426191803L,;1433524526426191803L,;[65,;54;-1;-1],;[7953,;14372;-1;-1],;19.357.000.589.370.700,00;4.120.800.018.310.540,00;-1.0,;-1.0,;820.0,;12.5,;-1.0,;-1.0,;1095.0)
9326;/s8101;(11425L,;1438650343;333680610L,;1438650343333680610L,;[208,;18;-1;-1],;[16485,;149;-1;-1],;8.509.400.367.736.810,00;0.0784360021352768,;-1.0,;-1.0,;5.0,;-999.0,;-1.0,;-1.0,;-999.0)
9599;/s1007;(37206L,;1439511585;131806326L,;1439511585131806326L,;[231,;47;-1;-1],;[2671,;264;-1;-1],;10.556.000.471.115.100,00;0.11093000322580338,;-1.0,;-1.0,;15.0,;1017.5,;-1.0,;-1.0,;1020.0)
