# lightning_id, station_number, event_id, timestamp, nanoseconds, ext_timestamp, pulseheights, pulseintegrals, 4xn, 4xt, t_trigger
340 /s6 (724L, 1120447899, 742544881L, 1120447899742544881L, [299, 173, -1, -1], [-97, -51, -1, -1], -97.0, -51.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
341 /s3 (2387L, 1120448023, 903276144L, 1120448023903276144L, [287, 49, -1, -1], [-96, -13, -1, -1], -96.0, -13.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
343 /s301 (598L, 1120448032, 372076311L, 1120448032372076311L, [-1, 52, -1, -1], [-1, -17, -1, -1], -1.0, -17.0, -1.0, -1.0, -1.0, 90.0, -1.0, -1.0, -999.0)
343 /s304 (1792L, 1120448032, 371841287L, 1120448032371841287L, [46, 28, -1, -1], [0, -5, -1, -1], -999.0, -5.0, -1.0, -1.0, 110.0, 242.5, -1.0, -1.0, -999.0)
343 /s303 (1797L, 1120448032, 392884390L, 1120448032392884390L, [87, 76, -1, -1], [-2, -5, -1, -1], -2.0, -5.0, -1.0, -1.0, 85.0, 80.0, -1.0, -1.0, -999.0)
347 /s301 (852L, 1120448208, 938976423L, 1120448208938976423L, [-1, 54, -1, -1], [-1, -91, -1, -1], -1.0, -91.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -999.0)
347 /s304 (2367L, 1120448209, 14324943L, 1120448209014324943L, [29, 31, -1, -1], [-7, -7, -1, -1], -7.0, -7.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
349 /s301 (866L, 1120448224, 933932647L, 1120448224933932647L, [-1, 165, -1, -1], [-1, 4, -1, -1], -1.0, -999.0, -1.0, -1.0, -1.0, 45.0, -1.0, -1.0, -999.0)
349 /s304 (2386L, 1120448224, 942892478L, 1120448224942892478L, [187, 117, -1, -1], [-32, 2, -1, -1], -32.0, 0.002300000051036477, -1.0, -1.0, 125.0, 122.5, -1.0, -1.0, -999.0)
359 /s301 (1245L, 1120448533, 908069537L, 1120448533908069537L, [-1, 139, -1, -1], [-1, -56, -1, -1], -1.0, -56.0, -1.0, -1.0, -1.0, -999.0, -1.0, -1.0, -999.0)
360 /s301 (1334L, 1120448605, 903856512L, 1120448605903856512L, [-1, 209, -1, -1], [-1, -78, -1, -1], -1.0, -78.0, -1.0, -1.0, -1.0, -999.0, -1.0, -1.0, -999.0)
362 /s301 (1468L, 1120448624, 380351212L, 1120448624380351212L, [-1, 132, -1, -1], [-1, 24, -1, -1], -1.0, -999.0, -1.0, -1.0, -1.0, 75.0, -1.0, -1.0, -999.0)
362 /s304 (3401L, 1120448624, 380356257L, 1120448624380356257L, [61, 44, -1, -1], [-15, -8, -1, -1], -15.0, -8.0, -1.0, -1.0, 232.5, 235.0, -1.0, -1.0, -999.0)
382 /s7 (574L, 1120472688, 736263169L, 1120472688736263169L, [68, 70, -1, -1], [-4, -14, -1, -1], -4.0, -14.0, -1.0, -1.0, 102.5, 112.5, -1.0, -1.0, -999.0)
383 /s304 (4011L, 1120472875, 447293796L, 1120472875447293796L, [100, 92, -1, -1], [-31, -29, -1, -1], -31.0, -29.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
389 /s304 (4475L, 1121701341, 865022464L, 1121701341865022464L, [30, 77, -1, -1], [-7, -23, -1, -1], -7.0, -23.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
390 /s301 (2313L, 1121701577, 329983229L, 1121701577329983229L, [57, 59, -1, -1], [75, 94, -1, -1], -999.0, -999.0, -1.0, -1.0, 77.5, 82.5, -1.0, -1.0, -999.0)
391 /s304 (4602L, 1121701604, 808181669L, 1121701604808181669L, [73, 35, -1, -1], [73, 1, -1, -1], 0.03440000116825104, 0.0010999999940395355, -1.0, -1.0, 32.5, 87.5, -1.0, -1.0, -999.0)
396 /s304 (5064L, 1121701831, 873965068L, 1121701831873965068L, [33, 38, -1, -1], [-8, -11, -1, -1], -8.0, -11.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
397 /s301 (2588L, 1121701832, 97057500L, 1121701832097057500L, [51, 48, -1, -1], [37, -4, -1, -1], -999.0, -4.0, -1.0, -1.0, 10.0, 72.5, -1.0, -1.0, -999.0)
398 /s301 (2762L, 1121701982, 953966869L, 1121701982953966869L, [86, 83, -1, -1], [50, 40, -1, -1], -999.0, -999.0, -1.0, -1.0, 387.5, 412.5, -1.0, -1.0, -999.0)
404 /s4001 (22L, 1121726723, 455971430L, 1121726723455971430L, [143, 128, -1, -1], [-40, -85, -1, -1], -40.0, -85.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
405 /s4001 (96L, 1121726811, 715971430L, 1121726811715971430L, [180, 150, -1, -1], [-51, -103, -1, -1], -51.0, -103.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
407 /s4001 (201L, 1121727369, 388971430L, 1121727369388971430L, [33, 134, -1, -1], [-7, -91, -1, -1], -7.0, -91.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
445 /s3 (2925L, 1123842355, 817403379L, 1123842355817403379L, [223, 144, -1, -1], [-71, -47, -1, -1], -71.0, -47.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
446 /s3 (2926L, 1123842355, 938822206L, 1123842355938822206L, [57, 48, -1, -1], [-9, 2, -1, -1], -9.0, -999.0, -1.0, -1.0, 157.5, 140.0, -1.0, -1.0, -999.0)
455 /s3001 (1761L, 1123844650, 266932882L, 1123844650266932882L, [151, 239, -1, -1], [-49, -82, -1, -1], -49.0, -82.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
459 /s3001 (1909L, 1123844804, 161340831L, 1123844804161340831L, [36, 61, -1, -1], [-10, -17, -1, -1], -10.0, -17.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
483 /s304 (6614L, 1124994531, 79418082L, 1124994531079418082L, [84, 53, -1, -1], [-10, 2, -1, -1], -10.0, 0.001500000013038516, -1.0, -1.0, 125.0, 135.0, -1.0, -1.0, -999.0)
488 /s304 (7438L, 1124994964, 871963523L, 1124994964871963523L, [43, 30, -1, -1], [-8, -1, -1, -1], -8.0, -1.0, -1.0, -1.0, 215.0, 217.5, -1.0, -1.0, -999.0)
520 /s501 (13404L, 1124997168, 2942854L, 1124997168002942854L, [34, 110, -1, -1], [-6, -104, -1, -1], -6.0, -104.0, -1.0, -1.0, 112.5, 10.0, -1.0, -1.0, -999.0)
520 /s501 (13405L, 1124997168, 2943057L, 1124997168002943057L, [-1, -1, 65, 102], [-1, -1, 20, 90], -1.0, -1.0, 0.00839999970048666, 0.046300001442432404, -1.0, -1.0, 12.5, 17.5, -999.0)
520 /s509 (2412L, 1124997168, 2941102L, 1124997168002941102L, [92, 81, -1, -1], [43, -36, -1, -1], -999.0, -36.0, -1.0, -1.0, 32.5, 102.5, -1.0, -1.0, -999.0)
533 /s3002 (561L, 1126317727, 66138182L, 1126317727066138182L, [37, 30, -1, -1], [-9, -8, -1, -1], -9.0, -8.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
539 /s1001 (2710L, 1126319948, 470224516L, 1126319948470224516L, [29, 58, -1, -1], [-6, -14, -1, -1], -6.0, -14.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
540 /s1001 (3508L, 1126319992, 839500036L, 1126319992839500036L, [34, 113, -1, -1], [-8, -27, -1, -1], -8.0, -27.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
541 /s1001 (4012L, 1126320051, 251519801L, 1126320051251519801L, [449, 108, -1, -1], [-121, -26, -1, -1], -121.0, -26.0, -1.0, -1.0, 355.0, -999.0, -1.0, -1.0, -999.0)
545 /s1001 (5947L, 1126320457, 599267300L, 1126320457599267300L, [27, 39, -1, -1], [-6, -9, -1, -1], -6.0, -9.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
546 /s1001 (6386L, 1126320872, 228327319L, 1126320872228327319L, [57, 47, -1, -1], [-13, -10, -1, -1], -13.0, -10.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
549 /s1001 (7792L, 1126321299, 545210250L, 1126321299545210250L, [58, 37, -1, -1], [-14, -8, -1, -1], -14.0, -8.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
555 /s2 (5649L, 1126323249, 352037975L, 1126323249352037975L, [427, 376, -1, -1], [-146, -126, -1, -1], -146.0, -126.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
558 /s509 (3424L, 1126323368, 353521123L, 1126323368353521123L, [34, 36, -1, -1], [-2, -1, -1, -1], -2.0, -1.0, -1.0, -1.0, 107.5, 127.5, -1.0, -1.0, -999.0)
563 /s3 (4228L, 1126323797, 174892060L, 1126323797174892060L, [91, 88, -1, -1], [-31, -27, -1, -1], -31.0, -27.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
565 /s509 (3978L, 1126323968, 328896228L, 1126323968328896228L, [50, 44, -1, -1], [5, 0, -1, -1], -999.0, -999.0, -1.0, -1.0, 85.0, 252.5, -1.0, -1.0, -999.0)
576 /s4004 (107L, 1127706728, 708398031L, 1127706728708398031L, [21, 176, -1, -1], [-5, -52, -1, -1], -5.0, -52.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
582 /s5 (1520L, 1132899140, 485015438L, 1132899140485015438L, [65, 40, -1, -1], [-21, -11, -1, -1], -21.0, -11.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
591 /s2 (6435L, 1141231492, 619168079L, 1141231492619168079L, [103, 117, -1, -1], [-31, -38, -1, -1], -31.0, -38.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
594 /s3301 (17L, 1141632128, 130911831L, 1141632128130911831L, [79, 47, -1, -1], [-22, -15, -1, -1], -22.0, -15.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
594 /s3001 (2920L, 1141632128, 146499766L, 1141632128146499766L, [62, 168, -1, -1], [-17, -54, -1, -1], -17.0, -54.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
612 /s1001 (8715L, 1143465614, 57256977L, 1143465614057256977L, [73, 59, -1, -1], [-23, -18, -1, -1], -23.0, -18.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
619 /s301 (3028L, 1148247238, 200122160L, 1148247238200122160L, [64, 48, -1, -1], [-112, -80, -1, -1], -112.0, -80.0, -1.0, -1.0, 10.0, 502.5, -1.0, -1.0, -999.0)
619 /s304 (9298L, 1148247238, 256146546L, 1148247238256146546L, [48, 42, -1, -1], [4, 2, -1, -1], -999.0, 0.0012000000569969416, -1.0, -1.0, 260.0, 310.0, -1.0, -1.0, -999.0)
622 /s4004 (164L, 1148316244, 314623315L, 1148316244314623315L, [137, 120, -1, -1], [-44, -36, -1, -1], -44.0, -36.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
