342;/s304;(1792L,;1120448032;371841287L,;1120448032371841287L,;[46,;28;-1;-1],;[0,;-5;-1;-1],;-999.0,;-5.0,;-1.0,;-1.0,;110.0,;242.5,;-1.0,;-1.0,;-999.0)
349;/s301;(867L,;1120448225;29348604L,;1120448225029348604L,;[-1,;62;-1;-1],;[-1,;-107;-1;-1],;-1.0,;-107.0,;-1.0,;-1.0,;-1.0,;10.0,;-1.0,;-1.0,;-999.0)
587;/s304;(8919L,;1133191765;120807401L,;1133191765120807401L,;[45,;34;-1;-1],;[4,;1;-1;-1],;0.0035286000929772854,;0.0007256799726746976,;-1.0,;-1.0,;300.0,;297.5,;-1.0,;-1.0,;-999.0)
676;/s3;(5505L,;1153575774;254470988L,;1153575774254470988L,;[36,;39;-1;-1],;[6,;-1;-1;-1],;-999.0,;-1.0,;-1.0,;-1.0,;70.0,;62.5,;-1.0,;-1.0,;-999.0)
1047;/s3;(9018L,;1156821439;313701269L,;1156821439313701269L,;[35,;55;-1;-1],;[3,;2;-1;-1],;-999.0,;0.002294600009918213,;-1.0,;-1.0,;72.5,;72.5,;-1.0,;-1.0,;-999.0)
1150;/s101;(396L,;1169357102;245394699L,;1169357102245394699L,;[41,;80;-1;-1],;[4,;3;-1;-1],;0.004589300137013197,;-999.0,;-1.0,;-1.0,;240.0,;110.0,;-1.0,;-1.0,;-999.0)
1333;/s3;(10506L,;1181331886;114420379L,;1181331886114420379L,;[64,;55;-1;-1],;[70,;102;-1;-1],;-999.0,;-999.0,;-1.0,;-1.0,;40.0,;42.5,;-1.0,;-1.0,;-999.0)
1333;/s7;(2543L,;1181331886;114417917L,;1181331886114417917L,;[42,;60;-1;-1],;[11,;8;-1;-1],;-999.0,;0.009178499691188335,;-1.0,;-1.0,;210.0,;122.5,;-1.0,;-1.0,;-999.0)
1659;/s509;(18144L,;1183592722;206543458L,;1183592722206543458L,;[37,;27;-1;-1],;[-3,;4;-1;-1],;-3.0,;-999.0,;-1.0,;-1.0,;102.5,;242.5,;-1.0,;-1.0,;-999.0)
1777;/s7;(9117L,;1183975821;471346599L,;1183975821471346599L,;[34,;55;-1;-1],;[0,;1;-1;-1],;-999.0,;-999.0,;-1.0,;-1.0,;257.5,;230.0,;-1.0,;-1.0,;-999.0)
3163;/s8003;(865L,;1278799568;12890094L,;1278799568012890094L,;[87,;153;-1;-1],;[577,;739;-1;-1],;0.16694000363349915,;0.1979299932718277,;-1.0,;-1.0,;15.0,;232.5,;-1.0,;-1.0,;235.0)
3211;/s4004;(2907L,;1278896866;163860577L,;1278896866163860577L,;[85,;402;-1;-1],;[1361,;3309;-1;-1],;0.3864299952983856,;10.815.999.507.904.000,00;-1.0,;-1.0,;35.0,;12.5,;-1.0,;-1.0,;37.5)
3855;/s8201;(3221L,;1309289005;436938260L,;1309289005436938260L,;[38,;37;-1;-1],;[6105,;7044;-1;-1],;20.792.999.267.578.100,00;23.612.000.942.230.200,00;-1.0,;-1.0,;640.0,;22.5,;-1.0,;-1.0,;-999.0)
4454;/s201;(3398L,;1314341643;798572097L,;1314341643798572097L,;[-999,;21;12;152],;[-999,;437;0;664],;-999.0,;0.13767999410629272,;0.0,;0.17208999395370483,;-999.0,;1257.5,;-999.0,;12.5,;-999.0)
4454;/s201;(3399L,;1314341643;798604337L,;1314341643798604337L,;[-999,;16;387;21],;[-999,;48;4584;301],;-999.0,;0.015123000368475914,;1.395.400.047.302.240,00;0.07800900191068649,;-999.0,;-999.0,;872.5,;4110.0,;-999.0)
4459;/s201;(3531L,;1314341727;826712533L,;1314341727826712533L,;[-999,;18;9;396],;[-999,;188;0;2516],;-999.0,;0.059230998158454895,;0.0,;0.6520599722862244,;-999.0,;-999.0,;-999.0,;15.0,;-999.0)
