# lightning_id, station_number, event_id, timestamp, nanoseconds, ext_timestamp, pulsehieghts, pulseintegrals, 4xn, 4xt, t_trigger
6952 /s3202 (15476L, 1398442416, 522295697L, 1398442416522295697L, [261, 2, 191, 4], [2758, 0, 2727, 0], 1.417799949645996, 0.0, 1.5370999574661255, 0.0, 12.5, -999.0, 12.5, -999.0, 17.5)
8129 /s7101 (7543L, 1406569620, 585403374L, 1406569620585403374L, [197, 73, -1, -1], [2071, 534, -1, -1], 1.207900047302246, -999.0, -1.0, -1.0, 897.5, 15.0, -1.0, -1.0, 897.5)
8175 /s8009 (5716L, 1407084132, 942345521L, 1407084132942345521L, [61, 44, -1, -1], [619, 342, -1, -1], 0.35034000873565674, 0.1846500039100647, -1.0, -1.0, 1082.5, 15.0, -1.0, -1.0, 1082.5)
8202 /s1001 (27321L, 1407414400, 917780682L, 1407414400917780682L, [152, 55, -1, -1], [2237, 848, -1, -1], 1.0128999948501587, 0.3345299959182739, -1.0, -1.0, 12.5, 32.5, -1.0, -1.0, 57.5)
8383 /s22 (34026L, 1408096069, 515935606L, 1408096069515935606L, [39, 77, -1, -1], [547, 2213, -1, -1], 0.20774999260902405, 0.7989599704742432, -1.0, -1.0, 12.5, 807.5, -1.0, -1.0, 1607.5)
8383 /s22 (34027L, 1408096069, 515999227L, 1408096069515999227L, [173, 279, -1, -1], [34770, 41981, -1, -1], 13.206000328063965, 15.156000137329102, -1.0, -1.0, 112.5, 15.0, -1.0, -1.0, 292.5)
8764 /s3303 (14898L, 1413921991, 318207906L, 1413921991318207906L, [106, 100, -1, -1], [789, 856, -1, -1], 0.2815999984741211, 0.34650999307632446, -1.0, -1.0, 690.0, 12.5, -1.0, -1.0, 692.5)
8829 /s104 (6538L, 1424808324, 152609382L, 1424808324152609382L, [513, 148, -1, -1], [90549, 36338, -1, -1], 34.28099822998047, 13.300999641418457, -1.0, -1.0, 110.0, 17.5, -1.0, -1.0, 125.0)
8829 /s104 (6539L, 1424808324, 152625602L, 1424808324152625602L, [-999, 100, -1, -1], [-999, 11633, -1, -1], -999.0, 4.2581000328063965, -1.0, -1.0, -999.0, 20.0, -1.0, -1.0, -999.0)
8829 /s104 (6540L, 1424808324, 153601955L, 1424808324153601955L, [69, 63, -1, -1], [1994, 808, -1, -1], 0.7549200057983398, 0.2957499921321869, -1.0, -1.0, 12.5, 335.0, -1.0, -1.0, 482.5)
8829 /s105 (6398L, 1424808324, 152609319L, 1424808324152609319L, [171, 128, -1, -1], [33008, 24664, -1, -1], -999.0, -999.0, -1.0, -1.0, 187.5, 12.5, -1.0, -1.0, 437.5)
8829 /s105 (6399L, 1424808324, 152625239L, 1424808324152625239L, [77, 100, -1, -1], [9907, 44852, -1, -1], -999.0, -999.0, -1.0, -1.0, 22.5, 277.5, -1.0, -1.0, 2092.5)
10076 /s1001 (29698L, 1440978597, 508348532L, 1440978597508348532L, [104, 68, -1, -1], [1050, 370, -1, -1], 0.5613700151443481, 0.15598000586032867, -1.0, -1.0, 15.0, 1410.0, -1.0, -1.0, 1415.0)
10166 /s508 (5745L, 1440990324, 710963478L, 1440990324710963478L, [10, 274, 7, 333], [0, 3265, 0, 3518], 0.0, 1.2979999780654907, 0.0, 1.5917999744415283, -999.0, 15.0, -999.0, 40.0, 45.0)
10178 /s3303 (17979L, 1440990830, 754795099L, 1440990830754795099L, [232, 51, -1, -1], [2600, 595, -1, -1], 1.129699945449829, 0.28874000906944275, -1.0, -1.0, 402.5, 15.0, -1.0, -1.0, 405.0)
10291 /s601 (8895L, 1441033246, 409086403L, 1441033246409086403L, [49, 55, -1, -1], [809, 297, -1, -1], 0.34022998809814453, 0.16571000218391418, -1.0, -1.0, 862.5, 15.0, -1.0, -1.0, 870.0)
