4477;/s504;(10467L,;1314342330;470936143L,;1314342330470936143L,;[16,;-999;16;178],;[16,;-999;192;1013],;0.00651790015399456,;-999.0,;0.12619000673294067,;0.5299699902534485,;-999.0,;-999.0,;-999.0,;417.5,;-999.0)
4477;/s505;(4491L,;1314342330;470809534L,;1314342330470809534L,;[79,;59;-1;-1],;[4258,;5759;-1;-1],;14.889.999.628.067.000,00;3.284.899.950.027.460,00;-1.0,;-1.0,;795.0,;117.5,;-1.0,;-1.0,;2172.5)
4529;/s505;(5735L,;1314343152;818645198L,;1314343152818645198L,;[3,;2;152;215],;[0,;0;1764;2712],;0.0,;0.0,;10.549.999.475.479.100,00;13.623.000.383.377.000,00;-999.0,;-999.0,;20.0,;15.0,;25.0)
4803;/s201;(5759L,;1319018879;109045989L,;1319018879109045989L,;[251,;56;52;458],;[4922,;1979;982;6508],;12.933.000.326.156.600,00;0.6056600213050842,;0.33065998554229736,;17.057.000.398.635.800,00;895.0,;115.0,;1167.5,;577.5,;937.5)
4803;/s201;(5760L,;1319018879;109103999L,;1319018879109103999L,;[100,;69;94;28],;[2346,;2054;1569;1653],;0.6164199709892273,;0.6286100149154663,;0.5283100008964539,;0.4332500100135803,;115.0,;1237.5,;1112.5,;1410.0,;2400.0)
4884;/s3101;(11188L,;1334766610;670867134L,;1334766610670867134L,;[1457,;3;4;149],;[23006,;0;0;891],;10.170.000.076.293.900,00;0.0,;0.0,;0.38565999269485474,;12.5,;-999.0,;-999.0,;515.0,;1912.5)
4911;/s13;(22041L,;1335848200;974930900L,;1335848200974930900L,;[-999,;831;-1;-1],;[-999,;147396;-1;-1],;-999.0,;4.556.800.079.345.700,00;-1.0,;-1.0,;-999.0,;15.0,;-1.0,;-1.0,;-999.0)
5478;/s8006;(13345L,;1341530113;901916741L,;1341530113901916741L,;[73,;105;-1;-1],;[601,;1115;-1;-1],;0.43347999453544617,;0.3919300138950348,;-1.0,;-1.0,;15.0,;20.0,;-1.0,;-1.0,;37.5)
5489;/s8002;(9803L,;1341530493;481386133L,;1341530493481386133L,;[83,;116;-1;-1],;[212,;699;-1;-1],;0.06731700152158737,;0.2258400022983551,;-1.0,;-1.0,;607.5,;12.5,;-1.0,;-1.0,;607.5)
5560;/s1006;(29627L,;1342039461;77706027L,;1342039461077706027L,;[49,;201;-1;-1],;[526,;2990;-1;-1],;0.1789799928665161,;0.9670299887657166,;-1.0,;-1.0,;697.5,;12.5,;-1.0,;-1.0,;710.0)
5613;/s503;(16548L,;1342065355;158113197L,;1342065355158113197L,;[2,;375;4;-999],;[0,;3888;0;-999],;0.0,;20.046.000.480.651.800,00;0.0,;-999.0,;-999.0,;15.0,;-999.0,;-999.0,;-999.0)
5778;/s1008;(2562L,;1343859317;503748186L,;1343859317503748186L,;[81,;141;-1;-1],;[1146,;1345;-1;-1],;0.3310199975967407,;0.4266799986362457,;-1.0,;-1.0,;850.0,;12.5,;-1.0,;-1.0,;852.5)
6069;/s101;(7399L,;1345932178;175624847L,;1345932178175624847L,;[20,;42;42;50],;[274,;1916;3361;7552],;0.13899999856948853,;0.8352299928665161,;-999.0,;29.835.000.038.146.900,00;2462.5,;1820.0,;347.5,;20.0,;-999.0)
6164;/s8201;(9322L,;1348493385;567112629L,;1348493385567112629L,;[63,;63;-1;-1],;[7266,;40404;-1;-1],;244.569.993.019.104,00;13.824.999.809.265.100,00;-1.0,;-1.0,;350.0,;25.0,;-1.0,;-1.0,;1712.5)
6511;/s8001;(19057L,;1374964809;725371707L,;1374964809725371707L,;[101,;96;-1;-1],;[4540,;3272;-1;-1],;15.426.000.356.674.100,00;14.076.999.425.888.000,00;-1.0,;-1.0,;67.5,;12.5,;-1.0,;-1.0,;277.5)
6511;/s8001;(19058L,;1374964809;725391357L,;1374964809725391357L,;[81,;68;-1;-1],;[7324,;6399;-1;-1],;2.488.600.015.640.250,00;2.753.000.020.980.830,00;-1.0,;-1.0,;12.5,;202.5,;-1.0,;-1.0,;212.5)
