# (t1-t2),ph1,ph2 zie email 7jan2015-37.5,354,82
5.0,221,29
-15.0,243,27
2.5,207,21
-20.0,326,86
10.0,277,23
-25.0,265,22
0.0,304,20
-60.0,262,38
-65.0,229,95
-92.5,276,66
15.0,366,79
-10.0,214,79
-32.5,248,33
0.0,329,35
-2.5,269,119
-12.5,275,26
-30.0,332,27
-37.5,229,26
-10.0,202,20
-42.5,212,43
17.5,261,31
22.5,297,27
-75.0,284,89
-17.5,203,74
2.5,355,103
-60.0,327,36
-12.5,349,28
-17.5,211,25
-27.5,332,20
-32.5,287,62
-62.5,283,111
-5.0,271,94
-10.0,353,71
-17.5,250,28
-10.0,235,85
-15.0,249,41
-30.0,349,35
12.5,253,34
-27.5,245,27
-30.0,359,30
-50.0,290,36
-10.0,244,34
-35.0,210,71
10.0,274,72
-37.5,348,20
17.5,378,93
-22.5,219,21
-5.0,236,101
0.0,246,39
-2.5,210,69
-20.0,294,20
-17.5,345,52
-62.5,287,66
-35.0,363,25
-17.5,364,90
10.0,271,42
-30.0,257,116
-52.5,328,37
-42.5,296,30
-15.0,313,36
-22.5,239,79
-20.0,262,39
-32.5,210,21
-35.0,343,28
-12.5,237,52
-20.0,256,40
-60.0,315,77
-70.0,313,98
27.5,341,38
7.5,246,28
-22.5,259,50
0.0,272,27
0.0,279,81
-42.5,371,21
2.5,311,99
20.0,222,41
-17.5,257,59
-45.0,287,52
-12.5,260,23
40.0,399,22
-7.5,268,96
-17.5,365,108
-17.5,207,26
-27.5,274,99
5.0,333,20
-15.0,260,90
-2.5,298,59
-22.5,253,55
-32.5,334,30
5.0,359,64
-17.5,262,23
0.0,305,26
-42.5,359,88
10.0,295,80
-27.5,335,41
12.5,297,87
-17.5,261,32
12.5,257,64
-20.0,267,78
-17.5,252,24
-20.0,212,26
-27.5,375,22
7.5,347,38
-32.5,234,20
-17.5,254,113
-20.0,247,26
-17.5,238,83
-7.5,257,22
-22.5,318,32
-22.5,302,56
-12.5,223,112
-5.0,221,43
2.5,355,28
7.5,295,56
-10.0,236,37
10.0,218,20
32.5,254,89
-35.0,203,32
-45.0,264,23
-17.5,274,79
-10.0,274,62
0.0,282,36
-20.0,342,114
-5.0,219,74
-2.5,357,45
-7.5,235,106
-25.0,241,31
-27.5,217,22
-40.0,242,25
10.0,228,29
-12.5,263,23
17.5,260,22
-17.5,205,20
7.5,344,106
-25.0,385,85
-2.5,351,106
2.5,214,105
-25.0,265,73
-5.0,239,26
2.5,320,75
-30.0,246,32
17.5,300,72
-17.5,304,21
-25.0,255,67
-22.5,329,29
-30.0,283,106
-10.0,327,60
2.5,320,97
-15.0,231,108
52.5,204,40
-5.0,299,94
-15.0,220,110
-20.0,314,76
10.0,305,29
2.5,213,60
-27.5,366,28
-35.0,244,34
15.0,214,34
-20.0,216,88
12.5,241,50
-17.5,301,34
-22.5,270,24
0.0,233,21
-65.0,333,58
-40.0,288,23
-17.5,394,23
-17.5,235,54
-12.5,288,79
-17.5,322,80
20.0,212,114
-35.0,217,31
-12.5,283,69
-10.0,267,111
-30.0,290,111
-10.0,350,88
17.5,323,78
-35.0,223,21
-25.0,271,21
-7.5,327,22
-12.5,208,53
-77.5,356,106
-37.5,220,24
-20.0,209,20
-15.0,337,24
-57.5,306,34
17.5,336,63
-7.5,203,95
-22.5,219,27
-20.0,241,20
0.0,339,55
-2.5,283,20
5.0,254,42
-40.0,286,65
-10.0,323,42
-70.0,391,40
-30.0,246,21
-20.0,228,91
-40.0,269,30
-15.0,216,78
2.5,269,64
7.5,251,90
-15.0,344,38
-2.5,266,70
-15.0,316,57
-10.0,219,48
0.0,276,79
-10.0,220,22
-25.0,316,27
62.5,207,93
0.0,395,29
-12.5,219,92
2.5,251,22
-25.0,277,53
-7.5,242,119
-5.0,303,61
-15.0,228,45
-5.0,244,41
67.5,248,28
0.0,256,34
10.0,210,45
10.0,360,46
5.0,346,108
-22.5,312,119
17.5,262,23
-80.0,245,48
15.0,366,53
2.5,232,44
-35.0,230,31
-2.5,304,80
-5.0,378,24
-25.0,319,29
-10.0,228,105
42.5,251,74
-5.0,362,52
-65.0,226,45
-27.5,205,26
-30.0,325,26
-75.0,292,30
7.5,246,28
0.0,248,108
-15.0,325,89
12.5,242,95
-62.5,261,49
2.5,300,42
5.0,301,52
15.0,249,22
-15.0,224,25
-42.5,376,25
2.5,267,88
-25.0,259,21
5.0,337,78
-37.5,211,55
-7.5,250,44
-7.5,237,27
0.0,397,20
-40.0,242,48
-80.0,330,22
-35.0,229,33
-12.5,233,97
-80.0,227,30
-20.0,302,25
-50.0,241,64
15.0,259,105
-35.0,357,32
-7.5,249,20
20.0,272,42
-17.5,286,45
7.5,298,55
15.0,304,72
-45.0,390,105
-30.0,225,21
7.5,229,43
-5.0,238,57
5.0,258,30
-7.5,237,52
-5.0,302,40
0.0,315,25
-15.0,226,115
-7.5,369,114
-12.5,275,43
-10.0,232,85
-30.0,241,21
60.0,218,69
5.0,326,28
-20.0,250,94
-15.0,398,28
-15.0,331,21
-45.0,347,71
-20.0,226,30
-17.5,312,89
-2.5,314,101
-17.5,237,99
2.5,308,32
-47.5,242,36
-12.5,317,78
-25.0,267,21
-2.5,308,77
15.0,304,112
-2.5,289,33
-15.0,214,25
20.0,358,57
-5.0,283,45
-5.0,388,98
-5.0,302,21
2.5,289,26
15.0,270,37
-15.0,237,52
-30.0,247,25
12.5,335,20
-32.5,259,48
17.5,288,35
-25.0,251,44
7.5,220,25
-27.5,383,29
0.0,205,21
-12.5,230,42
-10.0,382,114
-17.5,230,21
-5.0,203,22
-22.5,379,21
-65.0,214,113
10.0,212,105
-37.5,208,81
-30.0,228,57
-22.5,383,40
-15.0,239,41
-20.0,255,99
30.0,331,48
-12.5,262,107
-12.5,203,24
-2.5,374,64
10.0,228,47
12.5,226,63
-15.0,265,108
-35.0,230,71
2.5,275,26
-25.0,250,43
-42.5,305,29
-2.5,212,21
-30.0,314,108
-32.5,211,83
-40.0,212,29
-5.0,297,41
-22.5,285,64
62.5,237,62
-42.5,323,22
-42.5,321,34
2.5,235,34
-65.0,288,31
20.0,223,77
-37.5,210,26
-17.5,340,89
5.0,209,111
-7.5,362,66
-22.5,369,20
-30.0,312,32
-75.0,297,66
-27.5,332,25
-2.5,232,45
-80.0,240,117
10.0,218,75
7.5,309,36
-42.5,241,67
2.5,282,22
-17.5,391,47
0.0,345,68
-37.5,213,22
-20.0,358,81
2.5,337,28
15.0,348,23
-12.5,362,93
-77.5,249,23
-15.0,365,54
10.0,292,21
-50.0,276,24
-2.5,232,58
-80.0,300,26
-37.5,233,24
-25.0,278,117
-10.0,317,23
-5.0,252,23
-37.5,224,23
-20.0,206,104
-62.5,239,21
-27.5,278,35
-10.0,258,113
5.0,217,30
-10.0,208,77
2.5,324,118
-15.0,397,36
-17.5,291,21
-17.5,294,36
5.0,388,32
-35.0,270,20
-35.0,382,20
-10.0,371,23
-25.0,222,31
5.0,241,61
-15.0,301,49
-20.0,336,22
-30.0,270,118
-55.0,276,49
-25.0,264,22
-22.5,268,20
-25.0,226,109
-5.0,205,118
-30.0,315,42
-12.5,304,114
7.5,299,90
-12.5,335,98
-12.5,303,30
7.5,239,66
7.5,263,112
-7.5,226,49
-7.5,203,57
10.0,292,70
-25.0,368,37
-2.5,232,87
-7.5,367,48
-27.5,334,21
-5.0,348,67
-5.0,285,100
-12.5,341,48
-22.5,345,101
