XCOM: vinyltoluene

Constituents (Atomic Number : Fraction by Weight)
 Z=1	: 0.085290
 Z=6	: 0.914710
       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                             FIELD    FIELD    SCATT.   SCATT.
         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)

       4.000E+01 2.217E-08 5.734E-03 1.067E-08 7.513E-03 1.209E-03 1.446E-02 1.446E-02
       5.000E+01 1.419E-08 4.786E-03 8.490E-09 8.111E-03 1.355E-03 1.425E-02 1.425E-02
       6.000E+01 9.857E-09 4.123E-03 7.050E-09 8.590E-03 1.473E-03 1.419E-02 1.419E-02
       8.000E+01 5.545E-09 3.252E-03 5.265E-09 9.313E-03 1.656E-03 1.422E-02 1.422E-02
       1.000E+02 3.548E-09 2.699E-03 4.200E-09 9.846E-03 1.796E-03 1.434E-02 1.434E-02
       1.500E+02 1.577E-09 1.922E-03 2.789E-09 1.074E-02 2.039E-03 1.470E-02 1.470E-02
       2.000E+02 8.869E-10 1.507E-03 2.088E-09 1.130E-02 2.201E-03 1.501E-02 1.501E-02
       3.000E+02 3.941E-10 1.068E-03 1.390E-09 1.199E-02 2.411E-03 1.547E-02 1.547E-02
       4.000E+02 2.217E-10 8.365E-04 1.041E-09 1.240E-02 2.542E-03 1.577E-02 1.577E-02
       5.000E+02 1.419E-10 6.925E-04 8.325E-10 1.267E-02 2.635E-03 1.600E-02 1.600E-02
       6.000E+02 9.852E-11 5.930E-04 6.935E-10 1.287E-02 2.704E-03 1.617E-02 1.617E-02
       8.000E+02 5.545E-11 4.631E-04 5.197E-10 1.314E-02 2.802E-03 1.640E-02 1.640E-02
       1.000E+03 3.548E-11 3.810E-04 4.158E-10 1.331E-02 2.867E-03 1.656E-02 1.656E-02
       1.500E+03 1.577E-11 2.661E-04 2.771E-10 1.357E-02 2.968E-03 1.681E-02 1.681E-02
       2.000E+03 8.869E-12 2.059E-04 2.078E-10 1.372E-02 3.025E-03 1.695E-02 1.695E-02
       3.000E+03 3.941E-12 1.432E-04 1.385E-10 1.387E-02 3.088E-03 1.710E-02 1.710E-02
       4.000E+03 2.217E-12 1.105E-04 1.038E-10 1.396E-02 3.125E-03 1.719E-02 1.719E-02
       5.000E+03 1.419E-12 9.039E-05 8.306E-11 1.401E-02 3.148E-03 1.725E-02 1.725E-02
       6.000E+03 9.852E-13 7.664E-05 6.921E-11 1.405E-02 3.165E-03 1.729E-02 1.729E-02
