2994;/s22;(12670L,;1278789234;520638897L,;1278789234520638897L,;;;;;;;;;;;;
2998;/s3102;(7028L,;1278790388;576868568L,;1278790388576868568L,;;;;;;;;;;;;
3000;/s8104;(1382L,;1278790745;668651014L,;1278790745668651014L,;;;;;;;;;;;;
3005;/s8104;(1937L,;1278791024;756846640L,;1278791024756846640L,;;;;;;;;;;;;
3013;/s8104;(3138L,;1278791333;6765473L,;1278791333006765473L,;;;;;;;;;;;;
3014;/s8104;(3304L,;1278791374;408855270L,;1278791374408855270L,;;;;;;;;;;;;
3016;/s8104;(3793L,;1278791492;924456098L,;1278791492924456098L,;;;;;;;;;;;;
3018;/s8104;(3947L,;1278791550;547289464L,;1278791550547289464L,;;;;;;;;;;;;
3018;/s8104;(3948L,;1278791550;604588235L,;1278791550604588235L,;;;;;;;;;;;;
3029;/s1006;(604L,;1278793007;894787344L,;1278793007894787344L,;;;;;;;;;;;;
3030;/s1006;(883L,;1278793077;575683143L,;1278793077575683143L,;;;;;;;;;;;;
3035;/s1001;(13583L,;1278793240;435161259L,;1278793240435161259L,;;;;;;;;;;;;
3038;/s1006;(1494L,;1278793283;392314081L,;1278793283392314081L,;;;;;;;;;;;;
3038;/s1007;(805L,;1278793283;433624571L,;1278793283433624571L,;;;;;;;;;;;;
3042;/s1006;(2399L,;1278793402;107429950L,;1278793402107429950L,;;;;;;;;;;;;
3043;/s1006;(2403L,;1278793403;926231175L,;1278793403926231175L,;;;;;;;;;;;;
3044;/s1006;(2540L,;1278793419;869031182L,;1278793419869031182L,;;;;;;;;;;;;
3045;/s1006;(2541L,;1278793420;124652630L,;1278793420124652630L,;;;;;;;;;;;;
3052;/s1006;(3687L,;1278793504;916175077L,;1278793504916175077L,;;;;;;;;;;;;
3052;/s1006;(3688L,;1278793504;921550967L,;1278793504921550967L,;;;;;;;;;;;;
3052;/s1007;(2055L,;1278793504;940200129L,;1278793504940200129L,;;;;;;;;;;;;
3056;/s1007;(2888L,;1278793586;690942196L,;1278793586690942196L,;;;;;;;;;;;;
3057;/s1006;(5287L,;1278793596;844573876L,;1278793596844573876L,;;;;;;;;;;;;
3058;/s1006;(5288L,;1278793596;895242392L,;1278793596895242392L,;;;;;;;;;;;;
3059;/s1006;(5312L,;1278793609;403033711L,;1278793609403033711L,;;;;;;;;;;;;
3066;/s1007;(3410L,;1278793668;171908584L,;1278793668171908584L,;;;;;;;;;;;;
3068;/s1006;(6439L,;1278793673;502399199L,;1278793673502399199L,;;;;;;;;;;;;
3068;/s1001;(14469L,;1278793673;526574661L,;1278793673526574661L,;;;;;;;;;;;;
3069;/s1001;(14474L,;1278793683;724668795L,;1278793683724668795L,;;;;;;;;;;;;
3073;/s1007;(3906L,;1278793714;871150640L,;1278793714871150640L,;;;;;;;;;;;;
3085;/s502;(5934L,;1278793799;576943307L,;1278793799576943307L,;;;;;;;;;;;;
3101;/s1007;(7168L,;1278794141;996066083L,;1278794141996066083L,;;;;;;;;;;;;
3101;/s1001;(15628L,;1278794142;78201229L,;1278794142078201229L,;;;;;;;;;;;;
3103;/s1007;(7178L,;1278794149;584107658L,;1278794149584107658L,;;;;;;;;;;;;
3105;/s1006;(12375L,;1278794250;107191041L,;1278794250107191041L,;;;;;;;;;;;;
3115;/s505;(2656L,;1278794884;464650162L,;1278794884464650162L,;;;;;;;;;;;;
3125;/s1007;(8049L,;1278798444;241798008L,;1278798444241798008L,;;;;;;;;;;;;
3128;/s1007;(8783L,;1278798585;40167663L,;1278798585040167663L,;;;;;;;;;;;;
3130;/s1006;(15471L,;1278798716;919898609L,;1278798716919898609L,;;;;;;;;;;;;
3136;/s1006;(16796L,;1278799046;172080445L,;1278799046172080445L,;;;;;;;;;;;;
3138;/s1006;(17176L,;1278799102;673631261L,;1278799102673631261L,;;;;;;;;;;;;
3138;/s1006;(17177L,;1278799102;742112337L,;1278799102742112337L,;;;;;;;;;;;;
3139;/s1006;(17207L,;1278799115;532588783L,;1278799115532588783L,;;;;;;;;;;;;
3140;/s1006;(17208L,;1278799116;180245914L,;1278799116180245914L,;;;;;;;;;;;;
3141;/s8003;(227L,;1278799118;956754677L,;1278799118956754677L,;;;;;;;;;;;;
3142;/s21;(11902L,;1278799136;309223L,;1278799136000309223L,;;;;;;;;;;;;
3148;/s1007;(10751L,;1278799267;621820440L,;1278799267621820440L,;;;;;;;;;;;;
3150;/s1007;(10793L,;1278799299;363497274L,;1278799299363497274L,;;;;;;;;;;;;
3151;/s1007;(10829L,;1278799325;170710150L,;1278799325170710150L,;;;;;;;;;;;;
3154;/s8002;(2391L,;1278799385;870397970L,;1278799385870397970L,;;;;;;;;;;;;
3164;/s1006;(20417L,;1278799579;68326173L,;1278799579068326173L,;;;;;;;;;;;;
3166;/s8006;(2991L,;1278799644;932513909L,;1278799644932513909L,;;;;;;;;;;;;
3168;/s8001;(4310L,;1278799677;630447442L,;1278799677630447442L,;;;;;;;;;;;;
3170;/s8006;(3294L,;1278799944;567284616L,;1278799944567284616L,;;;;;;;;;;;;
3180;/s8001;(5250L,;1278800172;56411008L,;1278800172056411008L,;;;;;;;;;;;;
3180;/s8006;(3952L,;1278800172;60089256L,;1278800172060089256L,;;;;;;;;;;;;
3181;/s8006;(3980L,;1278800190;371729868L,;1278800190371729868L,;;;;;;;;;;;;
3188;/s8002;(4419L,;1278800364;41980142L,;1278800364041980142L,;;;;;;;;;;;;
3192;/s8001;(6447L,;1278800720;654142308L,;1278800720654142308L,;;;;;;;;;;;;
